1,1557076284,Sun Apr 19 01:52:55 PDT 2009,NO_QUERY,oliviastener,Yum Top Roman at 2am is ALWAYS delicous 
0,1675896369,Fri May 01 20:35:22 PDT 2009,NO_QUERY,youngscolla,@thatladyj I wasn't there 
0,1558526808,Sun Apr 19 08:38:50 PDT 2009,NO_QUERY,sbostedor,@dbostedor3 nope 
0,1573877040,Tue Apr 21 03:16:34 PDT 2009,NO_QUERY,vaniety,is working late. 
1,1468883831,Tue Apr 07 04:13:53 PDT 2009,NO_QUERY,alanahhh,laughing at Bradie because he's adorable  &lt;3
0,1557163611,Sun Apr 19 02:23:11 PDT 2009,NO_QUERY,RadioPaulo,@drunkenmonkey87 what tesco you in? I need hangover munchies 
0,1557997833,Sun Apr 19 06:53:13 PDT 2009,NO_QUERY,kirstenflood,I'm going back to Toledo today 
1,1553585985,Sat Apr 18 14:40:02 PDT 2009,NO_QUERY,Shyraia,"WWS for healers, check it out and let me know if I screwed up  http://shyatwow.blogspot.com/"
0,1551616842,Sat Apr 18 09:31:40 PDT 2009,NO_QUERY,ericaphx,ugh why did i make a hair appointment today i wanna stay sleeping 
0,1556953877,Sun Apr 19 01:11:59 PDT 2009,NO_QUERY,helgaN,there has to be more to life than this 
1,1564282144,Mon Apr 20 02:42:58 PDT 2009,NO_QUERY,shaz_princess,"@hollywills sun, garden friends and vanilla tea... what a lovely combination!! Have you tried licorice tea?! Have a happy day "
1,1557679683,Sun Apr 19 05:28:39 PDT 2009,NO_QUERY,azyure,in Notre Dame with Belinda 
0,1559415824,Sun Apr 19 11:04:54 PDT 2009,NO_QUERY,glamorouslyill,i love the super nice weather.. now i must pick csm or skyline  fudge!! i need help!!
0,1551261365,Sat Apr 18 08:34:52 PDT 2009,NO_QUERY,purplehaze85,@StephanieDrumm They say 75 today and snow on Monday  Gotta love Michigan
0,1557160838,Sun Apr 19 02:22:08 PDT 2009,NO_QUERY,blath,@quezed Ouch in regards to your Mech.  Heh probably should have some sort of warning sign w/silohette of Mech with outline of fire.;)
1,1557528050,Sun Apr 19 04:39:17 PDT 2009,NO_QUERY,purplefoodie,@gourmeted i didn't make cos I was one mango short but I was to use fresh mangoes. They're in season 
1,1556216408,Sat Apr 18 22:01:59 PDT 2009,NO_QUERY,jaredpeters,@jessicamullen yeah-- you two hooked me with the first church of internetology vid &amp; I shared w him. We're both diggin ur shit 
0,1469216904,Tue Apr 07 05:38:38 PDT 2009,NO_QUERY,5tephen,A french vanilla capp sounds really good right now. Too bad i dont have one 
1,1470100181,Tue Apr 07 08:20:52 PDT 2009,NO_QUERY,tanco,@sengming no I still don't like donuts. No wonder I avoided them like a plague when we were on college. 
1,1550909532,Sat Apr 18 07:36:27 PDT 2009,NO_QUERY,o1ive12,@mrgeecue napa bike ride! 50miles starting out w 1700 ft of climbing to the rolling hills of wine country  expect some twitpics
0,1675825190,Fri May 01 20:25:09 PDT 2009,NO_QUERY,WalkingHorse,@trreed So very sad. Those poor children.No seatbelts.  Seatbelts save lives http://tinyurl.com/cyofgj
0,1559005961,Sun Apr 19 10:00:13 PDT 2009,NO_QUERY,tweetpet,@reatlas  Clean Me!
1,1469845964,Tue Apr 07 07:35:25 PDT 2009,NO_QUERY,thinQing,@kennorberg...will you actually Tweet?    You don't have the cycles!  LOL  
0,1559666789,Sun Apr 19 11:44:23 PDT 2009,NO_QUERY,lazypuffstone,My throat is sore. 
0,1548850364,Fri Apr 17 22:10:10 PDT 2009,NO_QUERY,KDBabylon,@mrsbambam that's on u! I attempted u ignored me 
